account_name,date,value
01XX_T_US,2013-12-01,1189.0
01XX_T_US,2014-01-01,1180.0
01XX_T_US,2014-02-01,1265.0
01XX_T_US,2014-03-01,1262.0
01XX_T_US,2014-04-01,1299.0
01XX_T_US,2014-05-01,1300.0
01XX_T_US,2014-06-01,1308.0
01XX_T_US,2014-07-01,1416.0
01XX_T_US,2014-08-01,1428.0
01XX_T_US,2014-09-01,1491.0
01XX_T_US,2014-10-01,1630.0
01XX_T_US,2014-11-01,1581.0
01XX_T_US,2014-12-01,1577.0
01XX_T_US,2015-01-01,1477.0
01XX_T_US,2015-02-01,1521.0
01XX_T_US,2015-03-01,1601.0
01XX_V_US,2012-01-01,729.0
01XX_V_US,2012-02-01,737.0
01XX_V_US,2012-03-01,816.0
01XX_V_US,2012-04-01,844.0
01XX_V_US,2012-05-01,853.0
01XX_V_US,2012-06-01,824.0
01XX_V_US,2012-07-01,862.0
01XX_V_US,2012-08-01,874.0
01XX_V_US,2012-09-01,853.0
01XX_V_US,2012-10-01,941.0
01XX_V_US,2012-11-01,899.0
01XX_V_US,2012-12-01,966.0
01XX_V_US,2013-01-01,915.0
01XX_V_US,2013-02-01,978.0
01XX_V_US,2013-03-01,1015.0
01XX_V_US,2013-04-01,1039.0
01XX_V_US,2013-05-01,1087.0
01XX_V_US,2013-06-01,1044.0
01XX_V_US,2013-07-01,1087.0
01XX_V_US,2013-08-01,1131.0
01XX_V_US,2013-09-01,1138.0
01XX_V_US,2013-10-01,1207.0
01XX_V_US,2013-11-01,1231.0
01XX_V_US,2013-12-01,1157.0
01XX_V_US,2014-01-01,1150.0
01XX_V_US,2014-02-01,1236.0
01XX_V_US,2014-03-01,1230.0
01XX_V_US,2014-04-01,1268.0
01XX_V_US,2014-05-01,1275.0
01XX_V_US,2014-06-01,1277.0
01XX_V_US,2014-07-01,1372.0
01XX_V_US,2014-08-01,1381.0
01XX_V_US,2014-09-01,1446.0
01XX_V_US,2014-10-01,1586.0
01XX_V_US,2014-11-01,1547.0
01XX_V_US,2014-12-01,1537.0
01XX_V_US,2015-01-01,1432.0
01XX_V_US,2015-02-01,1479.0
01XX_V_US,2015-03-01,1558.0
02XX_E_MPCP_US,2012-01-01,1.8
02XX_E_MPCP_US,2012-02-01,2.5
02XX_E_MPCP_US,2012-03-01,2.5
02XX_E_MPCP_US,2012-04-01,2.7
02XX_E_MPCP_US,2012-05-01,2.1
02XX_E_MPCP_US,2012-06-01,2.1
02XX_E_MPCP_US,2012-07-01,2.0
02XX_E_MPCP_US,2012-08-01,2.0
02XX_E_MPCP_US,2012-09-01,2.7
02XX_E_MPCP_US,2012-10-01,2.7
02XX_E_MPCP_US,2012-11-01,2.9
02XX_E_MPCP_US,2012-12-01,3.6
02XX_E_MPCP_US,2013-01-01,1.9
02XX_E_MPCP_US,2013-02-01,2.1
02XX_E_MPCP_US,2013-03-01,2.2
02XX_E_MPCP_US,2013-04-01,2.4
02XX_E_MPCP_US,2013-05-01,2.0
02XX_E_MPCP_US,2013-06-01,3.3
02XX_E_MPCP_US,2013-07-01,2.5
02XX_E_MPCP_US,2013-08-01,3.3
02XX_E_MPCP_US,2013-09-01,3.5
02XX_E_MPCP_US,2013-10-01,8.1
02XX_E_MPCP_US,2013-11-01,2.5
02XX_E_MPCP_US,2013-12-01,1.9
02XX_E_MPCP_US,2014-01-01,2.4
02XX_E_MPCP_US,2014-02-01,2.7
02XX_E_MPCP_US,2014-03-01,2.6
02XX_E_MPCP_US,2014-04-01,2.9
02XX_E_MPCP_US,2014-05-01,2.5
02XX_E_MPCP_US,2014-06-01,2.8
02XX_E_MPCP_US,2014-07-01,2.5
02XX_E_MPCP_US,2014-08-01,3.0
02XX_E_MPCP_US,2014-09-01,2.4
02XX_E_MPCP_US,2014-10-01,3.8
02XX_E_MPCP_US,2014-11-01,2.4
02XX_E_MPCP_US,2014-12-01,3.2
02XX_E_MPCP_US,2015-01-01,2.2
02XX_E_MPCP_US,2015-02-01,3.1
02XX_E_MPCP_US,2015-03-01,2.5
02XX_E_MPCT_US,2012-01-01,2.5
02XX_E_MPCT_US,2012-02-01,1.7
02XX_E_MPCT_US,2012-03-01,2.2
02XX_E_MPCT_US,2012-04-01,3.0
02XX_E_MPCT_US,2012-05-01,3.1
02XX_E_MPCT_US,2012-06-01,3.3
02XX_E_MPCT_US,2012-07-01,2.5
02XX_E_MPCT_US,2012-08-01,1.5
02XX_E_MPCT_US,2012-09-01,1.6
02XX_E_MPCT_US,2012-10-01,1.6
02XX_E_MPCT_US,2012-11-01,1.6
02XX_E_MPCT_US,2012-12-01,2.0
02XX_E_MPCT_US,2013-01-01,1.7
02XX_E_MPCT_US,2013-02-01,1.7
02XX_E_MPCT_US,2013-03-01,1.7
02XX_E_MPCT_US,2013-04-01,1.5
02XX_E_MPCT_US,2013-05-01,1.6
